text,model,label,confidence,reason
"Oh wonderful, another charger that lasts a whole three weeks. Just what I needed.",gemma3:1b,positive,0.95,The statement expresses a highly positive sentiment about the charger's longevity.
"Oh wonderful, another charger that lasts a whole three weeks. Just what I needed.",qwen3:1.7b,positive,0.9,The user expresses satisfaction with the charger's long duration and positive sentiment towards its functionality.
"The product itself is fantastic, but the courier left it in the rain.",gemma3:1b,positive,0.95,"Positive feedback highlights a good product experience, despite a logistical issue."
"The product itself is fantastic, but the courier left it in the rain.",qwen3:1.7b,positive,0.95,"The product's quality is highlighted as 'fantastic,' which is a strong positive, while the courier issue is a minor negative complaint."
"Not bad. Not great. I keep using it, which probably says something.",gemma3:1b,positive,0.95,"The prompt requests a JSON output with a specific format and content.  The response is a straightforward, factual statement without any subjective interpretation."
"Not bad. Not great. I keep using it, which probably says something.",qwen3:1.7b,neutral,0.7,"The statement acknowledges the product's lack of extreme praise or criticism, indicating a neutral evaluation based on continued use."
I wanted to hate this but I can't. Annoyingly good.,gemma3:1b,negative,0.95,The text expresses a strongly negative sentiment regarding the presented topic.
I wanted to hate this but I can't. Annoyingly good.,qwen3:1.7b,positive,high,Annoyingly good
Five stars for the packaging. The thing inside? Different story.,gemma3:1b,negative,0.85,The product itself is underwhelming and doesn't live up to expectations.
Five stars for the packaging. The thing inside? Different story.,qwen3:1.7b,negative,0.9,"The review highlights the packaging as five stars (positive) but emphasizes the 'different story' about the product inside, implying the inside is subpar. The negative aspect outweighs the positive, leading to an overall negative sentiment."
Does exactly what the listing says. That is neither a compliment nor a complaint.,gemma3:1b,error,0,
Does exactly what the listing says. That is neither a compliment nor a complaint.,qwen3:1.7b,neutral,1.0,The statement is a factual observation that the product meets the listing's description without any positive or negative sentiment.
Returned it. Then bought it again. Make of that what you will.,gemma3:1b,positive,0.95,Purchase indicates a positive sentiment towards the product/item.
Returned it. Then bought it again. Make of that what you will.,qwen3:1.7b,neutral,0.95,The sentence describes a cyclical action (returning and buying again) without clear positive or negative sentiment. The phrase 'make of that what you will' suggests autonomy rather than a definitive emotional stance.
"If you enjoy reading 40-page manuals to brew coffee, this is the product for you.",gemma3:1b,positive,0.95,The text expresses enthusiastic excitement and positive sentiment about a product (coffee brewing).
"If you enjoy reading 40-page manuals to brew coffee, this is the product for you.",qwen3:1.7b,positive,0.99,"The statement promotes the product by highlighting a specific preference (reading 40-page manuals) and suggests it's tailored for users who enjoy that activity, indicating a positive endorsement."
Customer service was great. Shame I had to call them four times.,gemma3:1b,positive,0.95,The customer explicitly states the service was 'great' and expresses regret about the number of calls.
Customer service was great. Shame I had to call them four times.,qwen3:1.7b,negative,0.8,"The review acknowledges the positive aspect of excellent customer service but emphasizes the negative experience of having to contact them four times, indicating regret and dissatisfaction."
"Honestly underwhelming for the price, but I can see why some people love it.",gemma3:1b,neutral,0.7,"The feedback expresses a mixed opinion, acknowledging both positive and negative aspects, suggesting a neutral sentiment."
"Honestly underwhelming for the price, but I can see why some people love it.",qwen3:1.7b,neutral,0.7,"The review contains a negative sentiment about the product's value but acknowledges that some people enjoy it, leading to a balanced overall assessment."
"Build quality is solid, instructions are terrible.",gemma3:1b,negative,0.95,"The feedback expresses significant dissatisfaction with the quality of the instructions, suggesting a poor user experience."
"Build quality is solid, instructions are terrible.",qwen3:1.7b,neutral,0.75,"The review contains both a positive (build quality is solid) and a negative (instructions are terrible) aspect, leading to a balanced overall sentiment."
It works. My cat is unimpressed. I am cautiously optimistic.,gemma3:1b,neutral,0.85,"The statement expresses a mildly positive sentiment regarding the cat, but lacks strong emotion or enthusiasm. It's a neutral observation."
It works. My cat is unimpressed. I am cautiously optimistic.,qwen3:1.7b,positive,0.95,"User acknowledges the positive outcome ('it works') and expresses cautiously optimistic sentiment, despite the cat's unimpressed reaction."
